,Year Released,Artist/Group,Track,Length,Genre,Debut Date,Peak Date,Week,Rank,WeekDate,InvertedRank
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,1,78.0,2000-09-30,23.0
1,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,1,15.0,2000-02-19,86.0
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,1,71.0,1999-10-30,30.0
3,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,1,41.0,2000-08-19,60.0
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,1,57.0,2000-08-12,44.0
5,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,1,59.0,2000-06-24,42.0
6,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,1,83.0,2000-01-01,18.0
7,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,1,63.0,2000-04-08,38.0
8,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,1,77.0,2000-07-01,24.0
9,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,1,81.0,1999-06-12,20.0
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,1,82.0,2000-05-13,19.0
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,1,71.0,1999-12-04,30.0
12,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,1,70.0,2000-01-29,31.0
13,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,1,84.0,2000-05-20,17.0
14,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,1,59.0,2000-03-25,42.0
15,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,1,60.0,2000-05-06,41.0
16,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,1,82.0,1999-12-18,19.0
17,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,1,81.0,1999-11-13,20.0
18,2000,Mya,Case Of The Ex (Whatcha Gonna Do),3:50,Rock,2000-08-19,2000-12-02,1,72.0,2000-08-26,29.0
19,2000,Dream,He Loves U Not,3:43,Rock,2000-09-30,2000-12-30,1,99.0,2000-10-07,2.0
20,2000,"Braxton, Toni",He Wasn't Man Enough,4:21,Rock,2000-03-18,2000-05-06,1,63.0,2000-03-25,38.0
21,2000,"Anthony, Marc",You Sang To Me,3:50,Latin,2000-02-26,2000-06-03,1,77.0,2000-03-04,24.0
22,2000,98¡,Give Me Just One Night (Una Noche),3:24,Rock,2000-08-19,2000-09-30,1,51.0,2000-08-26,50.0
23,2000,Destiny's Child,Jumpin' Jumpin',3:48,Rock,2000-05-13,2000-08-19,1,74.0,2000-05-20,27.0
24,2000,3 Doors Down,Kryptonite,3:53,Rock,2000-04-08,2000-11-11,1,81.0,2000-04-15,20.0
25,2000,Sisqo,Thong Song,4:05,Rock,2000-01-29,2000-05-20,1,74.0,2000-02-05,27.0
26,2000,"Aguilera, Christina",I Turn To You,4:00,Rock,2000-04-15,2000-07-01,1,50.0,2000-04-22,51.0
27,2000,"Houston, Whitney",My Love Is Your Love,4:16,Rock,1999-09-04,2000-01-08,1,81.0,1999-09-11,20.0
28,2000,Joe,I Wanna Know,4:57,Rock,2000-01-01,2000-07-01,1,94.0,2000-01-08,7.0
29,2000,"Jordan, Montell",Get It On.. Tonite,4:34,Rap,1999-10-23,2000-02-12,1,92.0,1999-10-30,9.0
30,2000,N'Sync,Bye Bye Bye,3:15,Rock,2000-01-29,2000-04-15,1,42.0,2000-02-05,59.0
31,2000,Eminem,The Real Slim Shady,4:42,Rap,2000-05-06,2000-06-24,1,70.0,2000-05-13,31.0
32,2000,Pink,Most Girls,4:06,Rock,2000-08-12,2000-11-25,1,85.0,2000-08-19,16.0
33,2000,"Mumba, Samantha",Gotta Tell You,3:19,Rock,2000-09-09,2000-12-09,1,85.0,2000-09-16,16.0
34,2000,Blaque,Bring It All To Me,3:46,Pop,1999-10-23,2000-01-22,1,73.0,1999-10-30,28.0
35,2000,"Elliott, Missy ""Misdemeanor""",Hot Boyz,3:51,Rap,1999-11-27,2000-01-08,1,36.0,1999-12-04,65.0
36,2000,"Gray, Macy",I Try,3:52,Rock,2000-02-19,2000-05-20,1,68.0,2000-02-26,33.0
37,2000,N'Sync,This I Promise You,4:23,Rock,2000-09-30,2000-12-02,1,68.0,2000-10-07,33.0
38,2000,Ruff Endz,No More,3:56,Rock,2000-07-01,2000-09-02,1,76.0,2000-07-08,25.0
39,2000,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,3:54,Rock,2000-01-01,2000-03-18,1,74.0,2000-01-08,27.0
40,2000,Nine Days,Absolutely (Story Of A Girl),3:09,Rock,2000-05-06,2000-07-22,1,85.0,2000-05-13,16.0
41,2000,"Dion, Celine",That's The Way It Is,4:03,Rock,1999-11-13,2000-03-04,1,74.0,1999-11-20,27.0
42,2000,Blink-182,All The Small Things,2:52,Rock,1999-12-04,2000-02-19,1,89.0,1999-12-11,12.0
43,2000,Eiffel 65,Blue (Da Ba Dee),3:29,Electronica,1999-12-11,2000-01-29,1,67.0,1999-12-18,34.0
44,2000,"Badu, Erkyah",Bag Lady,5:03,Rock,2000-08-19,2000-10-07,1,67.0,2000-08-26,34.0
45,2000,Pink,There U Go,3:23,Rock,2000-03-04,2000-04-08,1,25.0,2000-03-11,76.0
46,2000,Creed,Higher,5:16,Rock,1999-09-11,2000-07-22,1,81.0,1999-09-18,20.0
47,2000,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,1,100.0,2000-05-06,1.0
48,2000,Next,Wifey,4:03,Rock,2000-05-27,2000-09-09,1,85.0,2000-06-03,16.0
49,2000,Kenny G,Auld Lang Syne (The Millenium Mix),7:50,Jazz,1999-12-25,2000-01-08,1,89.0,2000-01-01,12.0
50,2000,Sonique,It Feels So Good,3:48,Rock,2000-01-22,2000-04-22,1,67.0,2000-01-29,34.0
51,2000,"Spears, Britney",Oops!.. I Did It Again,3:30,Rock,2000-04-22,2000-06-10,1,67.0,2000-04-29,34.0
52,2000,"Backstreet Boys, The",Shape Of My Heart,3:49,Rock,2000-10-14,2000-12-02,1,39.0,2000-10-21,62.0
53,2000,Everclear,Wonderful,4:30,Rock,2000-07-08,2000-09-30,1,77.0,2000-07-15,24.0
54,2000,Ja Rule,Between Me And You,4:05,Rap,2000-09-16,2000-11-18,1,85.0,2000-09-23,16.0
55,2000,"Rimes, LeAnn",I Need You,3:42,Country,2000-05-27,2000-08-12,1,77.0,2000-06-03,24.0
56,2000,Smash Mouth,Then The Morning Comes,3:04,Rock,1999-10-30,2000-01-29,1,83.0,1999-11-06,18.0
57,2000,Jay-Z,I Just Wanna Love U (Give It 2 Me),3:50,Rap,2000-10-28,2000-12-30,1,58.0,2000-11-04,43.0
58,2000,Jagged Edge,Let's Get Married,4:23,Rock,2000-05-06,2000-07-29,1,77.0,2000-05-13,24.0
59,2000,Filter,Take A Picture,4:23,Rock,1999-11-27,2000-02-05,1,91.0,1999-12-04,10.0
60,2000,"Martin, Ricky",She Bangs,4:02,Latin,2000-10-07,2000-12-02,1,38.0,2000-10-14,63.0
61,2000,Mystikal,Shake Ya Ass,4:46,Rap,2000-08-12,2000-10-28,1,97.0,2000-08-19,4.0
62,2000,BBMak,Back Here,3:35,Rock,2000-04-29,2000-07-29,1,99.0,2000-05-06,2.0
63,2000,"Spears, Britney",From The Bottom Of My Broken Heart,4:30,Rock,2000-01-29,2000-02-26,1,76.0,2000-02-05,25.0
64,2000,Third Eye Blind,Never Let You Go,3:57,Rock,2000-01-22,2000-04-01,1,65.0,2000-01-29,36.0
65,2000,Red Hot Chili Peppers,Otherside,4:13,Rock,2000-02-12,2000-05-27,1,80.0,2000-02-19,21.0
66,2000,Profyle,Liar,3:57,R&B,2000-09-16,2000-10-28,1,52.0,2000-09-23,49.0
67,2000,Barenaked Ladies,Pinch Me,3:46,Rock,2000-09-09,2000-11-25,1,77.0,2000-09-16,24.0
68,2000,Jagged Edge,He Can't Love U,3:30,Rock,1999-12-11,2000-01-08,1,54.0,1999-12-18,47.0
69,2000,504 Boyz,Wobble Wobble,3:35,Rap,2000-04-15,2000-05-06,1,57.0,2000-04-22,44.0
70,2000,Sting,Desert Rose,3:52,Rock,2000-05-13,2000-08-26,1,98.0,2000-05-20,3.0
71,2000,Jay-Z,Big Pimpin',3:55,Rap,2000-04-22,2000-07-08,1,69.0,2000-04-29,32.0
72,2000,Kid Rock,Only God Knows Why,5:27,Rock,2000-02-19,2000-04-15,1,63.0,2000-02-26,38.0
73,2000,Foo Fighters,Learn To Fly,3:55,Rock,1999-10-16,2000-01-22,1,80.0,1999-10-23,21.0
74,2000,"Dixie Chicks, The",Goodbye Earl,4:19,Country,2000-03-18,2000-05-06,1,40.0,2000-03-25,61.0
75,2000,Guy,Dancin',4:08,R&B,1999-12-18,2000-01-01,1,46.0,1999-12-25,55.0
76,2000,Lil Bow Wow,Bounce With Me,3:22,Rap,2000-08-19,2000-09-16,1,48.0,2000-08-26,53.0
